# data from "Bioreversible Derivatives of Phenol. 2. Reactivity of Carbonate 
# Esters with Fatty Acid-like Structures Towards Hydrolysis in Aqueous Solutions."
# J. Ostergaard, C. Larsen,  Molecules, 2007, 12, 2396-2412. 
# https://doi.org/10.3390/12102396
#
# Data for compound 1
# phenyl capro(C6) carbonate
#
pH,        log(k /s)
0.4552845528455287, -6.197952218430034
0.8536585365853662, -6.443686006825938
1.1666666666666665, -6.757679180887371
2.1341463414634148, -7.126279863481229
3.044715447154472, -7.194539249146757
4.040650406504065, -7.194539249146757
4.52439024390244, -7.194539249146757
5.008130081300813, -7.112627986348123
6.032520325203253, -6.976109215017065
6.914634146341465, -6.648464163822525
8.451219512195124, -5.1331058020477816
9.987804878048781, -3.6040955631399316
12.776422764227643, -0.7918088737201365
13.17479674796748, -0.4778156996587031
