# data from "Bioreversible Derivatives of Phenol. 2. Reactivity of Carbonate 
# Esters with Fatty Acid-like Structures Towards Hydrolysis in Aqueous Solutions."
# J. Ostergaard, C. Larsen,  Molecules, 2007, 12, 2396-2412. 
# https://doi.org/10.3390/12102396
#
# Data for compound 1
# diphenyl carbonate
#
pH,        log(k /s)
0.42682926829268286, -4.969283276450512
0.8536585365853662, -4.982935153583618
1.1382113821138211, -5.010238907849829
2.16260162601626, -5.037542662116041
3.016260162601626, -4.901023890784983
4.012195121951221, -4.887372013651877
5.008130081300813, -4.996587030716723
7.426829268292684, -4.6279863481228665
9.817073170731708, -2.744027303754266
11.495934959349595, -1.0648464163822526
12.491869918699187, -0.040955631399317405
6.032520325203253, -4.668941979522184
