# data from "Bioreversible Derivatives of Phenol. 2. Reactivity of Carbonate 
# Esters with Fatty Acid-like Structures Towards Hydrolysis in Aqueous Solutions."
# J. Ostergaard, C. Larsen,  Molecules, 2007, 12, 2396-2412. 
# https://doi.org/10.3390/12102396
#
# Data for compound 1
# phenyl t-butyl carbonate
#
pH,        log(k /s)
0.4552845528455287, -2.9761092150170647
0.8252032520325208, -3.1672354948805457
1.1382113821138211, -3.262798634812287 
2.16260162601626,   -3.385665529010239 
3.044715447154472,  -3.3447098976109215
5.036585365853659,  -3.385665529010239 
6.914634146341465,  -3.3583617747440275
9.788617886178864,  -3.4129692832764507
11.495934959349595, -3.1808873720136517
12.491869918699187, -2.5529010238907848
12.80487804878049,  -2.3071672354948807
13.17479674796748,  -1.9112627986348123
