# data from "Bioreversible Derivatives of Phenol. 2. Reactivity of Carbonate 
# Esters with Fatty Acid-like Structures Towards Hydrolysis in Aqueous Solutions."
# J. Ostergaard, C. Larsen,  Molecules, 2007, 12, 2396-2412. 
# https://doi.org/10.3390/12102396
#
# Data for compound 1
# phenyl aceto carbonate
#
pH,        log(k /s)
0.14227642276422747, -5.187713310580205
0.25609756097561, -5.160409556313994
0.4552845528455287, -5.174061433447099
0.8536585365853662, -4.914675767918089
1.1666666666666665, -4.709897610921501
1.451219512195122, -4.587030716723549
1.8495934959349598, -4.245733788395904
2.16260162601626, -3.959044368600682
2.504065040650407, -3.6040955631399316
3.044715447154472, -3.522184300341297
4.012195121951221, -3.4402730375426622
5.008130081300813, -3.426621160409556
6.914634146341465, -3.426621160409556
8.365853658536587, -3.3993174061433447
9.760162601626018, -3.262798634812287
10.784552845528458, -2.7576791808873717
10.95528455284553, -2.6075085324232083
11.495934959349595, -2.129692832764505
12.491869918699187, -1.0511945392491469
