# data from "Bioreversible Derivatives of Phenol. 2. Reactivity of Carbonate 
# Esters with Fatty Acid-like Structures Towards Hydrolysis in Aqueous Solutions."
# J. Ostergaard, C. Larsen,  Molecules, 2007, 12, 2396-2412. 
# https://doi.org/10.3390/12102396
#
# Data for compound 1
# phenyl acetate (regular ester)
#
pH,        log(k /s)
0.4552845528455287, -3.918088737201365
0.8536585365853662, -4.2184300341296925
1.1382113821138211, -4.587030716723549
2.16260162601626, -5.624573378839591
3.044715447154472, -6.607508532423208
4.012195121951221, -7.112627986348123
5.008130081300813, -7.276450511945392
6.032520325203253, -6.839590443686006
7.426829268292684, -5.679180887372014
8.365853658536587, -4.860068259385666
9.788617886178864, -3.1126279863481225
11.495934959349595, -1.4607508532423206
12.491869918699187, -0.4368600682593856
12.776422764227643, -0.21843003412969286
